SerialNumber,TransactionID,UserID,TransactionAmount,TransactionType,TransactionTime,TransactionDate,Location,DeviceType,MerchantCategory,CardType,IsForeignTransaction,IsHighRiskCountry,UserTransactionFrequency,AmountBefore,AmountAfter,IsFraud
1,TXNA03B2B9EDF,USR393788,"$7,319.49",Debit,01:15:54,2024-05-07,London,Unknown,Travel,Debit,0,0,8,3544.65,-3774.84,1
2,TXNBAFF978201,USR892129,"₹6,276.23",Debit,22:11:16,2025-01-12,New York,Unknown,Retail,Debit,1,0,6,4668.14,-1608.09,1
3,TXN5D83878632,USR496849,"₹2,611.09",Credit,05:45:49,2024-12-11,Dubai,Tablet,Luxury,Debit,0,0,8,6281.06,8892.15,0
4,TXN458ACA06ED,USR427087,"€2,039.77",Credit,15:54:03,2023-11-06,Lagos,Tablet,Retail,Credit,0,0,5,8071.55,10111.32,0
5,TXNC08880A3C9,USR731955,"€2,301.56",Debit,16:02:52,2023-12-27,Delhi,Desktop,Retail,Debit,0,0,7,6188.85,3887.29,0
6,TXN438DD22F1B,USR175563,"$7,187.70",Credit,11:28:00,2025-03-13,New York,Desktop,Luxury,Prepaid,0,0,8,9880.07,17067.77,0
7,TXN85B92EEAFC,USR104819,"$2,278.87",Debit,03:55:06,2024-06-24,Beijing,Desktop,Luxury,Debit,0,0,5,7342.49,5063.62,0
8,TXNAE26BB5122,USR812311,"₹7,754.76",Debit,15:48:30,2025-03-17,Lagos,Tablet,Luxury,Prepaid,1,1,2,7778.91,24.1499999999996,1
9,TXN3C214452E3,USR753319,"$6,481.80",Credit,20:38:42,2024-04-05,Beijing,Unknown,Food,Credit,0,0,6,8246.32,14728.12,1
10,TXN9289EE7645,USR236285,"€2,68,352.68",Debit,13:21:25,2024-03-22,Tokyo,Mobile,Retail,Prepaid,0,0,6,6160.23,-262192.45,1
11,TXN3E6AD57314,USR796112,"$5,937.55",Debit,09:33:33,2023-07-14,Lagos,Mobile,Retail,Prepaid,0,0,11,4240.43,-1697.12,1
12,TXNB246BEF3D7,USR299798,"€7,281.26",Debit,04:34:14,2025-01-08,Lagos,Unknown,Retail,Prepaid,0,0,6,583.65,-6697.61,1
13,TXNC5D246AAA2,USR697837,"€6,428.51",Debit,21:56:37,2024-10-05,Dubai,Mobile,Retail,Prepaid,0,0,8,2017.12,-4411.39,0
14,TXN6AB79167BF,USR523767,$872.49,Credit,18:10:07,2023-07-24,Beijing,Desktop,Travel,Debit,0,0,5,7382.21,8254.7,0
15,TXN845277809F,USR462260,"€9,158.78",Debit,20:50:27,2024-03-30,Delhi,Tablet,Luxury,Prepaid,0,0,7,290.03,-8868.75,0
16,TXN7283B65F11,USR648760,$668.75,Debit,18:08:59,2025-07-07,Tokyo,Mobile,Food,Credit,0,0,6,2515.46,1846.71,0
17,TXN763727553D,USR726260,$355.52,Credit,18:06:57,2025-02-24,Delhi,Tablet,Utility,Prepaid,0,0,8,9915.33,10270.85,0
18,TXN7773D91957,USR370195,"€9,104.61",Debit,07:01:27,2023-08-30,Dubai,Desktop,Utility,Credit,0,0,6,2169.5,-6935.11,0
19,TXN6C0866368E,USR358166,"€4,137.59",Debit,10:38:39,2025-03-06,Delhi,Mobile,Luxury,Prepaid,1,0,8,2955.71,-1181.88,1
20,TXN5B6AF8ADCD,USR510347,"€5,043.27",Debit,11:43:36,2023-07-26,Dubai,Desktop,Travel,Credit,0,0,9,5301.54,258.27,0
21,TXN2B92CE4E0D,USR401009,"$9,274.08",Credit,09:29:59,2023-08-27,Delhi,Tablet,Luxury,Prepaid,0,0,4,651.78,9925.86,0
22,TXN36AEF3C376,USR300967,"$3,003.33",Credit,06:12:54,2023-06-28,Dubai,Unknown,Travel,Prepaid,0,0,6,506.61,3509.94,1
23,TXNECB16F2503,USR563418,"€7,516.16",Debit,16:07:32,2023-10-11,Tokyo,Mobile,Retail,Debit,0,0,9,5206.54,-2309.62,0
24,TXNA5F9988E51,USR969984,"€5,237.93",Credit,18:48:42,2025-07-24,New York,Unknown,Utility,Prepaid,0,0,7,6275.21,11513.14,1
25,TXN8DB7D603DD,USR900041,"€2,412.11",Debit,19:32:53,2024-03-10,New York,Mobile,Retail,Prepaid,0,0,8,335.77,-2076.34,0
26,TXN43003E54D0,USR984502,"€1,311.70",Debit,10:03:34,2023-05-15,Beijing,Unknown,Food,Credit,1,0,6,223.12,-1088.58,1
27,TXN24BE09ACF8,USR745521,"€1,01,881.77",Debit,18:44:12,2025-01-14,Lagos,Mobile,Food,Debit,0,1,3,4509.77,-97372.0,1
28,TXNBF043D4223,USR442552,"₹3,48,215.43",Debit,22:12:35,2024-04-24,Delhi,Unknown,Travel,Prepaid,0,0,12,5033.75,-343181.68,1
29,TXN35D571C9C4,USR656702,"€5,466.50",Debit,06:46:27,2023-07-13,Beijing,Desktop,Luxury,Prepaid,1,1,5,5454.41,-12.0900000000001,1
30,TXN0A3CAE0549,USR429268,"€1,369.86",Debit,09:52:57,2024-09-05,Beijing,Mobile,Food,Prepaid,0,0,3,570.37,-799.49,0
31,TXNA807B1F0D3,USR904962,"$4,586.27",Credit,08:09:42,2024-08-27,Beijing,Unknown,Utility,Debit,0,0,6,7153.33,11739.6,1
32,TXN9C0B9F0726,USR262268,"$4,792.01",Credit,06:58:26,2023-08-27,Tokyo,Mobile,Utility,Prepaid,0,0,7,1934.76,6726.77,0
33,TXN7787ED8E72,USR654652,"$3,854.37",Debit,09:31:34,2025-06-18,New York,Desktop,Retail,Debit,0,0,10,6192.67,2338.3,0
34,TXNA2D928DCEA,USR268297,"₹3,42,808.50",Debit,01:22:20,2024-01-27,London,Tablet,Utility,Debit,0,0,8,7019.03,-335789.47,1
35,TXNE1D1ABC410,USR264235,"₹4,945.51",Debit,00:24:38,2024-05-10,Dubai,Desktop,Luxury,Credit,0,0,9,6330.84,1385.33,0
36,TXNDB372B3668,USR708253,"€5,197.48",Credit,22:11:10,2024-11-04,New York,Mobile,Utility,Credit,0,0,7,9349.51,14546.99,0
37,TXN683F4C0F13,USR744577,"€8,688.55",Debit,22:06:31,2024-06-20,Lagos,Desktop,Food,Debit,0,0,5,1412.27,-7276.28,0
38,TXN274FAEE1D4,USR811026,"$1,85,998.32",Debit,12:53:06,2023-06-07,Beijing,Desktop,Retail,Prepaid,0,0,6,1252.47,-184745.85,1
39,TXN6A65005030,USR591184,"€2,624.70",Debit,20:52:49,2023-05-14,Tokyo,Unknown,Retail,Debit,0,0,6,3187.26,562.56,1
40,TXNC9241011DA,USR969256,"₹4,103.39",Credit,12:16:56,2023-05-30,London,Desktop,Retail,Credit,0,0,6,9923.87,14027.26,0
41,TXN8438E4243A,USR430024,"€7,128.87",Credit,01:31:59,2025-01-24,New York,Mobile,Food,Debit,0,0,7,3869.94,10998.81,0
42,TXN6DF504DC55,USR448120,"$2,156.25",Credit,06:21:07,2023-11-27,New York,Unknown,Retail,Debit,0,1,14,1894.63,4050.88,1
43,TXN593AF83B97,USR618729,€141.03,Credit,18:35:03,2023-04-13,New York,Mobile,Retail,Prepaid,0,0,9,3117.62,3258.65,0
44,TXND41688F54D,USR688252,"₹3,024.23",Credit,04:02:53,2024-09-08,Tokyo,Tablet,Retail,Prepaid,0,0,7,8453.64,11477.87,0
